"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.56514382402707","-2.06477732793522","-3.7199124726477","-3.99194901039919","-4.70168612191959","3.72800477184611","1.59057437407953","-4.1002277904328","-7.3517354468434","-3.09712586719524","-8.90151515151515","-11.852522053834","-9.84769455455873","-8.05659265081549","-11.7260993218114","-15.0273224043716","-14.9512918254977","-10.4464857936338","-8.78558263362687","-6.34507606084868","-0.131975867269985","1.40423141733758","1.30081300813008","-0.837404047452896","1.03826596869581","-13.2827655630545","0.661525584365195",
"","AFE","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.942383425373329","-0.726957914438973","0.639568161277296","1.70048879602861","-0.0158519007685207","-1.19985376524584","-0.652006615373693","-1.15558304577819","-1.97266751457344","-0.514167893694264","0.121563112390373","0.1250234383185","0.12656258089439","-0.620235754590631","-1.20642890844458","-0.470559119666348","0.213043963508344","0.30782389024678","-0.545508574495969","-4.09090098484981","-1.04039981095499","-0.599095558794932","-3.28116447725472","-4.66556062160102","-4.05634452733437","-6.31398752353266","-4.62786232666841","-3.24454079289212","-3.12382564174593","-2.8077177999698","-1.65839210671183","-0.117123967137545",
"Afganistán","AFG","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","-2.89256015128759","-3.64372303266733","-4.47154218553776","-7.69230923987239","-9.16666282407429","-10.1545243532203","-9.99999976190476","-7.43691861540118","-6.31067978210324","-4.88959026286458","-2.16010550092615","-5.21845294341042","-3.34261855199759","-1.79487263543725","-0.824742290147732","-1.59624388423813","-1.65217416672968","-3.16027116622249","-3.03030346903376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","-5.89877816234297","-6.39586962629495","-4.2909660054721","-3.95474721770863","-3.67737045034399","-4.17824522445985","-3.1952666418657","-4.03524798487472","-3.00800645036628","-2.42163123362857","-1.98367349599518","-2.89983150032763","-1.66720320956256","-0.973529994301249","6.57785865792924","-5.29085405644609","-5.40099503829163","-0.090486392082564","-4.72960359469034","1.18099362428934","5.36168035166631","-2.24855884073764","-1.21205882846754","0.137955473775492","3.0652470310927","2.27779491197461","-1.43152800466096","0.813685361826863","0.355310348377252","6.61854050520045","5.12416583988903","4.59737841033588","3.3193989906015","1.08944576299376","1.79466979072958","4.21967778689761","2.95360050163738","2.4935893094073","-3.50831477543516","2.28447544438267","12.5025809537197","2.4816993271185","2.64111513965075","1.07950734321782","4.30646709028778","5.32566351759039","10.2903654981417","0.863731306340927","6.01036878830952","-1.05333299197732","3.59359884458768","6.06737758312415","11.0898117411507","1.82718521963069","2.52336868808998","-2.74515588407877","-4.39859088856752","-1.59926370222145","-2.20728139626813","-4.34269282061478","-1.3783663368781","-1.60658940085963",
"Angola","AGO","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.824552915418","0.442092772187014","8.86839949803497","4.74144807139525","13.1807695884926","24.461573409733","32.3105676757973","27.7514988509558","23.5853491452283","-4.93152561408743","18.962583477231","21.3573886990329","20.0801639270508","14.6822388231182","10.057136139081","-3.37932018765773","2.8788128268024","5.75137684297969","15.2945663336239","23.751971988263","19.3967003510729","28.0783675039134",
"Albania","ALB","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","0.420891317151782","1.52054703574025","-4.66472579620985","-2.70651732195469","-2.03502016822331","-2.2940788329814","-0.424944616985555","-0.0997202393074286","-2.93908246795073","-2.87937954098593","-8.62683574443122","-21.1008826139267","-83.7862892546581","-48.5606731436399","-29.1351960402252","-22.3289358788678","-21.654778247333","-25.0313016865666","-25.203202303247","-17.3275044297263","-23.223502042103","-23.8242023679162","-26.6338358771749","-25.3257881364185","-22.6120657867624","-24.8463644808329","-23.847874784442","-26.7063492721081","-26.8469152641495","-24.6134171841781","-20.584519761706","-22.7354946548734","-18.6352250994327","-18.0410835722746","-18.9818426795575","-17.2662240371134","-16.8540644722268","-15.0546579004221","-13.6642637061313","-13.6706543604171","-14.5437863973613","-13.289024672141",
"Andorra","AND","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.15198226012749","7.6156770026655","9.51359288105888","11.5026476967677","15.9459605446356","17.7564176115747","13.3900172116611","15.381283764292","3.9179371289127","10.858130714516","17.818929819372","18.4700453107377","15.5896596805773","10.4854988731716","0.0376834974559941","-0.486704577225211","2.65764927800063","8.21491054698556","5.59815416551524","0.66974255733539","",
"Emiratos Árabes Unidos","ARE","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.45387072628172","5.93503595338458","9.54622893956581","10.5128471038986","15.6177511375138","17.7849257652414","7.97004213484629","9.22223337735726","5.84469136599967","20.6072962093245","28.4871866263818","35.2994561361441","34.9146897197931","29.8180836229537","25.6501394437573","24.4231544123482","23.881359424258","26.068980602083","25.9447725826679","25.281297846539","",
"Argentina","ARG","Balanza comercial de bienes y servicios (% del PIB)","NE.RSB.GNFS.ZS","2.12913319746322E-06","1.67858472267841E-06","-4.69184013156704","2.16987435263046E-06","1.53002140132025E-06","2.07529146538738","1.66322935005796","2.49853207958065","1.08074204025606","0","0.865689271084736","-0.600723152966151","0.359888480895527","1.90316693082669","0.613561737587651","-0.154620697463696","3.25389196855162","2.28949825749172","2.89298350379267","0.181146292378018","-1.421727098454","-0.450878518263459","2.56950005720169","3.31537126678235","2.83340919435594","5.46277097078228","1.83792229645136","0.297441743848656","3.31976733716303","6.47902011524435","5.72821418510863","1.59703253775518","-1.53460564227824","-2.40444838036731","-3.0744484151647","-0.410602571195211","-0.649274893693637","-2.21447863989155","-2.51886405088506","-1.72839593260512","-0.649694312619028","1.30576071351812","15.0124696397722","11.2171378217363","7.00259273903135","5.94048249709131","5.61990933570791","4.38033000444218","3.71912738621024","5.06484320667575","2.8966335471722","1.69226329066661","1.94917655233833","-0.0995822252265794","0.404163533523684","-1.07492198807163","-1.03969751087799","-2.64903441833118","-1.88916445518585","3.21914170984251","3.0019449138143","3.08897608932271",
